Training Start, luck bless me, plz!
{
    "output_model": "varmisuse",
Runing epoch 108 (validation), batch 23 (has 64 graphs). Loss so far: 0.3120
Runing epoch 108 (validation), batch 24 (has 64 graphs). Loss so far: 0.2997
Runing epoch 108 (validation), batch 25 (has 64 graphs). Loss so far: 0.3347
Runing epoch 108 (validation), batch 26 (has 64 graphs). Loss so far: 0.3231
Runing epoch 108 (validation), batch 27 (has 64 graphs). Loss so far: 0.3323
Runing epoch 108 (validation), batch 28 (has 64 graphs). Loss so far: 0.3223
Runing epoch 108 (validation), batch 29 (has 64 graphs). Loss so far: 0.3669
Runing epoch 108 (validation), batch 30 (has 64 graphs). Loss so far: 0.4108
Runing epoch 108 (validation), batch 31 (has 64 graphs). Loss so far: 0.4415
Runing epoch 108 (validation), batch 32 (has 64 graphs). Loss so far: 0.4854
Runing epoch 108 (validation), batch 33 (has 64 graphs). Loss so far: 0.4722
Runing epoch 108 (validation), batch 34 (has 64 graphs). Loss so far: 0.5022
Runing epoch 108 (validation), batch 35 (has 64 graphs). Loss so far: 0.5109
Runing epoch 108 (validation), batch 36 (has 64 graphs). Loss so far: 0.4969
Runing epoch 108 (validation), batch 37 (has 64 graphs). Loss so far: 0.4936
Runing epoch 108 (validation), batch 38 (has 64 graphs). Loss so far: 0.4874
Runing epoch 108 (validation), batch 39 (has 64 graphs). Loss so far: 0.4992
Runing epoch 108 (validation), batch 40 (has 64 graphs). Loss so far: 0.4870
Runing epoch 108 (validation), batch 41 (has 64 graphs). Loss so far: 0.4807
Runing epoch 108 (validation), batch 42 (has 64 graphs). Loss so far: 0.4839
Runing epoch 108 (validation), batch 43 (has 64 graphs). Loss so far: 0.5043
Runing epoch 108 (validation), batch 44 (has 64 graphs). Loss so far: 0.5440
Runing epoch 108 (validation), batch 45 (has 64 graphs). Loss so far: 0.5449
Runing epoch 108 (validation), batch 46 (has 64 graphs). Loss so far: 0.5540
Runing epoch 108 (validation), batch 47 (has 64 graphs). Loss so far: 0.5613
Runing epoch 108 (validation), batch 48 (has 64 graphs). Loss so far: 0.5510
Runing epoch 108 (validation), batch 49 (has 64 graphs). Loss so far: 0.5741
Runing epoch 108 (validation), batch 50 (has 64 graphs). Loss so far: 0.5741
Runing epoch 108 (validation), batch 51 (has 64 graphs). Loss so far: 0.5628
Runing epoch 108 (validation), batch 52 (has 64 graphs). Loss so far: 0.5826
Runing epoch 108 (validation), batch 53 (has 64 graphs). Loss so far: 0.5826
Runing epoch 108 (validation), batch 54 (has 64 graphs). Loss so far: 0.5928
Runing epoch 108 (validation), batch 55 (has 64 graphs). Loss so far: 0.5969
Runing epoch 108 (validation), batch 56 (has 64 graphs). Loss so far: 0.5899
Runing epoch 108 (validation), batch 57 (has 64 graphs). Loss so far: 0.5797
Runing epoch 108 (validation), batch 58 (has 64 graphs). Loss so far: 0.5812
Runing epoch 108 (validation), batch 59 (has 64 graphs). Loss so far: 0.5713
Runing epoch 108 (validation), batch 60 (has 64 graphs). Loss so far: 0.5620
Runing epoch 108 (validation), batch 61 (has 64 graphs). Loss so far: 0.5537
Runing epoch 108 (validation), batch 62 (has 64 graphs). Loss so far: 0.5543
Runing epoch 108 (validation), batch 63 (has 64 graphs). Loss so far: 0.5514
Runing epoch 108 (validation), batch 64 (has 64 graphs). Loss so far: 0.5778
Runing epoch 108 (validation), batch 65 (has 64 graphs). Loss so far: 0.5736
Runing epoch 108 (validation), batch 66 (has 64 graphs). Loss so far: 0.5650
Runing epoch 108 (validation), batch 67 (has 61 graphs). Loss so far: 0.5565

[K valid: loss: 0.55653 || Top1 0.747 Top2 0.947 Top3 0.981 Top4 1.000 Top5 1.000 || graphs/sec: 59.43 | nodes/sec: 2972 | graphs: 4285 | nodes: 214250 | lr: 0.001000
== Epoch 109
Runing epoch 109 (training), batch 1 (has 64 graphs). Loss so far: 0.1457
Runing epoch 109 (training), batch 2 (has 64 graphs). Loss so far: 0.5303
Runing epoch 109 (training), batch 3 (has 64 graphs). Loss so far: 0.6223
Runing epoch 109 (training), batch 4 (has 64 graphs). Loss so far: 0.4757
Runing epoch 109 (training), batch 5 (has 64 graphs). Loss so far: 0.3909
Runing epoch 109 (training), batch 6 (has 64 graphs). Loss so far: 0.3258
Runing epoch 109 (training), batch 7 (has 64 graphs). Loss so far: 0.4486
Runing epoch 109 (training), batch 8 (has 64 graphs). Loss so far: 0.4622
Runing epoch 109 (training), batch 9 (has 64 graphs). Loss so far: 0.5003
Runing epoch 109 (training), batch 10 (has 64 graphs). Loss so far: 0.5939
Runing epoch 109 (training), batch 11 (has 64 graphs). Loss so far: 0.5504
Runing epoch 109 (training), batch 12 (has 64 graphs). Loss so far: 0.5051
Runing epoch 109 (training), batch 13 (has 64 graphs). Loss so far: 0.4667
Runing epoch 109 (training), batch 14 (has 64 graphs). Loss so far: 0.4821
Runing epoch 109 (training), batch 15 (has 64 graphs). Loss so far: 0.5144
Runing epoch 109 (training), batch 16 (has 64 graphs). Loss so far: 0.4832
Runing epoch 109 (training), batch 17 (has 64 graphs). Loss so far: 0.4946
Runing epoch 109 (training), batch 18 (has 64 graphs). Loss so far: 0.4671
Runing epoch 109 (training), batch 19 (has 64 graphs). Loss so far: 0.4678
Runing epoch 109 (training), batch 20 (has 64 graphs). Loss so far: 0.4445
Runing epoch 109 (training), batch 21 (has 64 graphs). Loss so far: 0.4505
Runing epoch 109 (training), batch 22 (has 64 graphs). Loss so far: 0.4377
Runing epoch 109 (training), batch 23 (has 64 graphs). Loss so far: 0.4198
Runing epoch 109 (training), batch 24 (has 64 graphs). Loss so far: 0.4034
Runing epoch 109 (training), batch 25 (has 64 graphs). Loss so far: 0.4013
Runing epoch 109 (training), batch 26 (has 64 graphs). Loss so far: 0.4111
Runing epoch 109 (training), batch 27 (has 64 graphs). Loss so far: 0.3986
Runing epoch 109 (training), batch 28 (has 64 graphs). Loss so far: 0.3964
Runing epoch 109 (training), batch 29 (has 64 graphs). Loss so far: 0.4037
Runing epoch 109 (training), batch 30 (has 64 graphs). Loss so far: 0.4007
Runing epoch 109 (training), batch 31 (has 64 graphs). Loss so far: 0.3882
Runing epoch 109 (training), batch 32 (has 64 graphs). Loss so far: 0.3992
Runing epoch 109 (training), batch 33 (has 64 graphs). Loss so far: 0.4192
Runing epoch 109 (training), batch 34 (has 64 graphs). Loss so far: 0.5217
Runing epoch 109 (training), batch 35 (has 64 graphs). Loss so far: 0.5254
Runing epoch 109 (training), batch 36 (has 64 graphs). Loss so far: 0.5108
Runing epoch 109 (training), batch 37 (has 64 graphs). Loss so far: 0.4995
Runing epoch 109 (training), batch 38 (has 64 graphs). Loss so far: 0.4983
Runing epoch 109 (training), batch 39 (has 64 graphs). Loss so far: 0.4863
Runing epoch 109 (training), batch 40 (has 64 graphs). Loss so far: 0.4745
Runing epoch 109 (training), batch 41 (has 64 graphs). Loss so far: 0.4670
Runing epoch 109 (training), batch 42 (has 64 graphs). Loss so far: 0.4782
Runing epoch 109 (training), batch 43 (has 64 graphs). Loss so far: 0.4674
Runing epoch 109 (training), batch 44 (has 64 graphs). Loss so far: 0.4639
Runing epoch 109 (training), batch 45 (has 64 graphs). Loss so far: 0.4686
Runing epoch 109 (training), batch 46 (has 64 graphs). Loss so far: 0.4745
Runing epoch 109 (training), batch 47 (has 64 graphs). Loss so far: 0.4894
Runing epoch 109 (training), batch 48 (has 64 graphs). Loss so far: 0.4793
Runing epoch 109 (training), batch 49 (has 64 graphs). Loss so far: 0.4733
Runing epoch 109 (training), batch 50 (has 64 graphs). Loss so far: 0.4656
Runing epoch 109 (training), batch 51 (has 64 graphs). Loss so far: 0.4679
Runing epoch 109 (training), batch 52 (has 64 graphs). Loss so far: 0.4614
Runing epoch 109 (training), batch 53 (has 64 graphs). Loss so far: 0.4726
Runing epoch 109 (training), batch 54 (has 64 graphs). Loss so far: 0.4800
Runing epoch 109 (training), batch 55 (has 64 graphs). Loss so far: 0.4713
Runing epoch 109 (training), batch 56 (has 64 graphs). Loss so far: 0.4875
Runing epoch 109 (training), batch 57 (has 64 graphs). Loss so far: 0.4807
Runing epoch 109 (training), batch 58 (has 64 graphs). Loss so far: 0.4808
Runing epoch 109 (training), batch 59 (has 64 graphs). Loss so far: 0.4729
Runing epoch 109 (training), batch 60 (has 64 graphs). Loss so far: 0.4674
Runing epoch 109 (training), batch 61 (has 64 graphs). Loss so far: 0.4597
Runing epoch 109 (training), batch 62 (has 64 graphs). Loss so far: 0.4602
Runing epoch 109 (training), batch 63 (has 64 graphs). Loss so far: 0.4619
Runing epoch 109 (training), batch 64 (has 64 graphs). Loss so far: 0.4570
Runing epoch 109 (training), batch 65 (has 64 graphs). Loss so far: 0.4534
Runing epoch 109 (training), batch 66 (has 64 graphs). Loss so far: 0.4468
Runing epoch 109 (training), batch 67 (has 64 graphs). Loss so far: 0.4462
Runing epoch 109 (training), batch 68 (has 64 graphs). Loss so far: 0.4416
Runing epoch 109 (training), batch 69 (has 64 graphs). Loss so far: 0.4460
Runing epoch 109 (training), batch 70 (has 64 graphs). Loss so far: 0.4411
Runing epoch 109 (training), batch 71 (has 64 graphs). Loss so far: 0.4373
Runing epoch 109 (training), batch 72 (has 64 graphs). Loss so far: 0.4312
Runing epoch 109 (training), batch 73 (has 64 graphs). Loss so far: 0.4257
Runing epoch 109 (training), batch 74 (has 64 graphs). Loss so far: 0.4293
Runing epoch 109 (training), batch 75 (has 64 graphs). Loss so far: 0.4238
Runing epoch 109 (training), batch 76 (has 64 graphs). Loss so far: 0.4209
Runing epoch 109 (training), batch 77 (has 64 graphs). Loss so far: 0.4329
Runing epoch 109 (training), batch 78 (has 64 graphs). Loss so far: 0.4274
Runing epoch 109 (training), batch 79 (has 64 graphs). Loss so far: 0.4223
Runing epoch 109 (training), batch 80 (has 64 graphs). Loss so far: 0.4281
Runing epoch 109 (training), batch 81 (has 64 graphs). Loss so far: 0.4347
Runing epoch 109 (training), batch 82 (has 64 graphs). Loss so far: 0.4375
Runing epoch 109 (training), batch 83 (has 64 graphs). Loss so far: 0.4348
Runing epoch 109 (training), batch 84 (has 64 graphs). Loss so far: 0.4337
Runing epoch 109 (training), batch 85 (has 64 graphs). Loss so far: 0.4288
Runing epoch 109 (training), batch 86 (has 64 graphs). Loss so far: 0.4288
Runing epoch 109 (training), batch 87 (has 64 graphs). Loss so far: 0.4511
Runing epoch 109 (training), batch 88 (has 64 graphs). Loss so far: 0.4460
Runing epoch 109 (training), batch 89 (has 64 graphs). Loss so far: 0.4430
Runing epoch 109 (training), batch 90 (has 64 graphs). Loss so far: 0.4461
Runing epoch 109 (training), batch 91 (has 64 graphs). Loss so far: 0.4469
Runing epoch 109 (training), batch 92 (has 64 graphs). Loss so far: 0.4441
Runing epoch 109 (training), batch 93 (has 64 graphs). Loss so far: 0.4414
Runing epoch 109 (training), batch 94 (has 64 graphs). Loss so far: 0.4419
Runing epoch 109 (training), batch 95 (has 64 graphs). Loss so far: 0.4373
Runing epoch 109 (training), batch 96 (has 64 graphs). Loss so far: 0.4386
Runing epoch 109 (training), batch 97 (has 64 graphs). Loss so far: 0.4393
Runing epoch 109 (training), batch 98 (has 64 graphs). Loss so far: 0.4348
Runing epoch 109 (training), batch 99 (has 64 graphs). Loss so far: 0.4323
Runing epoch 109 (training), batch 100 (has 64 graphs). Loss so far: 0.4310
Runing epoch 109 (training), batch 101 (has 64 graphs). Loss so far: 0.4268
Runing epoch 109 (training), batch 102 (has 64 graphs). Loss so far: 0.4226
Runing epoch 109 (training), batch 103 (has 64 graphs). Loss so far: 0.4185
Runing epoch 109 (training), batch 104 (has 64 graphs). Loss so far: 0.4241
Runing epoch 109 (training), batch 105 (has 64 graphs). Loss so far: 0.4212
Runing epoch 109 (training), batch 106 (has 64 graphs). Loss so far: 0.4172
Runing epoch 109 (training), batch 107 (has 64 graphs). Loss so far: 0.4134
Runing epoch 109 (training), batch 108 (has 64 graphs). Loss so far: 0.4099
Runing epoch 109 (training), batch 109 (has 64 graphs). Loss so far: 0.4063
Runing epoch 109 (training), batch 110 (has 64 graphs). Loss so far: 0.4034
Runing epoch 109 (training), batch 111 (has 64 graphs). Loss so far: 0.3997
Runing epoch 109 (training), batch 112 (has 64 graphs). Loss so far: 0.4001
Runing epoch 109 (training), batch 113 (has 64 graphs). Loss so far: 0.3966
Runing epoch 109 (training), batch 114 (has 64 graphs). Loss so far: 0.4029
Runing epoch 109 (training), batch 115 (has 64 graphs). Loss so far: 0.3996
Runing epoch 109 (training), batch 116 (has 64 graphs). Loss so far: 0.3978
Runing epoch 109 (training), batch 117 (has 64 graphs). Loss so far: 0.3949
Runing epoch 109 (training), batch 118 (has 64 graphs). Loss so far: 0.3931
Runing epoch 109 (training), batch 119 (has 64 graphs). Loss so far: 0.3953
Runing epoch 109 (training), batch 120 (has 64 graphs). Loss so far: 0.3967
Runing epoch 109 (training), batch 121 (has 64 graphs). Loss so far: 0.3934
Runing epoch 109 (training), batch 122 (has 64 graphs). Loss so far: 0.3975
Runing epoch 109 (training), batch 123 (has 64 graphs). Loss so far: 0.4047
Runing epoch 109 (training), batch 124 (has 64 graphs). Loss so far: 0.4014
Runing epoch 109 (training), batch 125 (has 64 graphs). Loss so far: 0.4103
Runing epoch 109 (training), batch 126 (has 64 graphs). Loss so far: 0.4071
Runing epoch 109 (training), batch 127 (has 64 graphs). Loss so far: 0.4039
Runing epoch 109 (training), batch 128 (has 64 graphs). Loss so far: 0.4007
Runing epoch 109 (training), batch 129 (has 64 graphs). Loss so far: 0.3976
Runing epoch 109 (training), batch 130 (has 64 graphs). Loss so far: 0.3952
Runing epoch 109 (training), batch 131 (has 64 graphs). Loss so far: 0.3997
Runing epoch 109 (training), batch 132 (has 64 graphs). Loss so far: 0.4031
Runing epoch 109 (training), batch 133 (has 64 graphs). Loss so far: 0.4002
Runing epoch 109 (training), batch 134 (has 64 graphs). Loss so far: 0.4081
Runing epoch 109 (training), batch 135 (has 64 graphs). Loss so far: 0.4085
Runing epoch 109 (training), batch 136 (has 64 graphs). Loss so far: 0.4282
Runing epoch 109 (training), batch 137 (has 64 graphs). Loss so far: 0.4814
Runing epoch 109 (training), batch 138 (has 64 graphs). Loss so far: 0.4809
Runing epoch 109 (training), batch 139 (has 64 graphs). Loss so far: 0.4810
Runing epoch 109 (training), batch 140 (has 64 graphs). Loss so far: 0.4776
Runing epoch 109 (training), batch 141 (has 64 graphs). Loss so far: 0.4777
Runing epoch 109 (training), batch 142 (has 64 graphs). Loss so far: 0.4862
Runing epoch 109 (training), batch 143 (has 64 graphs). Loss so far: 0.4848
Runing epoch 109 (training), batch 144 (has 64 graphs). Loss so far: 0.4824
Runing epoch 109 (training), batch 145 (has 64 graphs). Loss so far: 0.4816
Runing epoch 109 (training), batch 146 (has 64 graphs). Loss so far: 0.4787
Runing epoch 109 (training), batch 147 (has 64 graphs). Loss so far: 0.4763
Runing epoch 109 (training), batch 148 (has 64 graphs). Loss so far: 0.4767
Runing epoch 109 (training), batch 149 (has 64 graphs). Loss so far: 0.4740
Runing epoch 109 (training), batch 150 (has 64 graphs). Loss so far: 0.4744
Runing epoch 109 (training), batch 151 (has 64 graphs). Loss so far: 0.4746
Runing epoch 109 (training), batch 152 (has 64 graphs). Loss so far: 0.4745
Runing epoch 109 (training), batch 153 (has 42 graphs). Loss so far: 0.4765

[K Train: loss: 0.47647 || Top1 0.810 Top2 0.975 Top3 0.993 Top4 0.997 Top5 1.000 || graphs/sec: 26.91 | nodes/sec: 1345 | graphs: 9770 | nodes: 488500 | lr: 0.001000
Runing epoch 109 (validation), batch 1 (has 64 graphs). Loss so far: 0.7196
Runing epoch 109 (validation), batch 2 (has 64 graphs). Loss so far: 0.8497
Runing epoch 109 (validation), batch 3 (has 64 graphs). Loss so far: 0.5763
Runing epoch 109 (validation), batch 4 (has 64 graphs). Loss so far: 0.4389
Runing epoch 109 (validation), batch 5 (has 64 graphs). Loss so far: 0.3521
Runing epoch 109 (validation), batch 6 (has 64 graphs). Loss so far: 0.3057
Runing epoch 109 (validation), batch 7 (has 64 graphs). Loss so far: 0.2868
Runing epoch 109 (validation), batch 8 (has 64 graphs). Loss so far: 0.3121
Runing epoch 109 (validation), batch 9 (has 64 graphs). Loss so far: 0.2946
Runing epoch 109 (validation), batch 10 (has 64 graphs). Loss so far: 0.2675
Runing epoch 109 (validation), batch 11 (has 64 graphs). Loss so far: 0.2467
Runing epoch 109 (validation), batch 12 (has 64 graphs). Loss so far: 0.3205
Runing epoch 109 (validation), batch 13 (has 64 graphs). Loss so far: 0.2973
Runing epoch 109 (validation), batch 14 (has 64 graphs). Loss so far: 0.2955
Runing epoch 109 (validation), batch 15 (has 64 graphs). Loss so far: 0.2764
Runing epoch 109 (validation), batch 16 (has 64 graphs). Loss so far: 0.2922
Runing epoch 109 (validation), batch 17 (has 64 graphs). Loss so far: 0.3195
Runing epoch 109 (validation), batch 18 (has 64 graphs). Loss so far: 0.3023
Runing epoch 109 (validation), batch 19 (has 64 graphs). Loss so far: 0.3128
Runing epoch 109 (validation), batch 20 (has 64 graphs). Loss so far: 0.3045
Runing epoch 109 (validation), batch 21 (has 64 graphs). Loss so far: 0.3105
Runing epoch 109 (validation), batch 22 (has 64 graphs). Loss so far: 0.3265
Runing epoch 109 (validation), batch 23 (has 64 graphs). Loss so far: 0.3385
Runing epoch 109 (validation), batch 24 (has 64 graphs). Loss so far: 0.3261
Runing epoch 109 (validation), batch 25 (has 64 graphs). Loss so far: 0.3511
Runing epoch 109 (validation), batch 26 (has 64 graphs). Loss so far: 0.3402
Runing epoch 109 (validation), batch 27 (has 64 graphs). Loss so far: 0.3669
Runing epoch 109 (validation), batch 28 (has 64 graphs). Loss so far: 0.3585
Runing epoch 109 (validation), batch 29 (has 64 graphs). Loss so far: 0.3935
Runing epoch 109 (validation), batch 30 (has 64 graphs). Loss so far: 0.4193
Runing epoch 109 (validation), batch 31 (has 64 graphs). Loss so far: 0.4386
Runing epoch 109 (validation), batch 32 (has 64 graphs). Loss so far: 0.4656
Runing epoch 109 (validation), batch 33 (has 64 graphs). Loss so far: 0.4568
Runing epoch 109 (validation), batch 34 (has 64 graphs). Loss so far: 0.4923
Runing epoch 109 (validation), batch 35 (has 64 graphs). Loss so far: 0.5048
Runing epoch 109 (validation), batch 36 (has 64 graphs). Loss so far: 0.4933
Runing epoch 109 (validation), batch 37 (has 64 graphs). Loss so far: 0.4902
Runing epoch 109 (validation), batch 38 (has 64 graphs). Loss so far: 0.4886
Runing epoch 109 (validation), batch 39 (has 64 graphs). Loss so far: 0.4986
Runing epoch 109 (validation), batch 40 (has 64 graphs). Loss so far: 0.4877
Runing epoch 109 (validation), batch 41 (has 64 graphs). Loss so far: 0.4831
Runing epoch 109 (validation), batch 42 (has 64 graphs). Loss so far: 0.4834
Runing epoch 109 (validation), batch 43 (has 64 graphs). Loss so far: 0.5010
Runing epoch 109 (validation), batch 44 (has 64 graphs). Loss so far: 0.5270
Runing epoch 109 (validation), batch 45 (has 64 graphs). Loss so far: 0.5313
Runing epoch 109 (validation), batch 46 (has 64 graphs). Loss so far: 0.5406
Runing epoch 109 (validation), batch 47 (has 64 graphs). Loss so far: 0.5513
Runing epoch 109 (validation), batch 48 (has 64 graphs). Loss so far: 0.5465
Runing epoch 109 (validation), batch 49 (has 64 graphs). Loss so far: 0.5606
Runing epoch 109 (validation), batch 50 (has 64 graphs). Loss so far: 0.5607
Runing epoch 109 (validation), batch 51 (has 64 graphs). Loss so far: 0.5498
Runing epoch 109 (validation), batch 52 (has 64 graphs). Loss so far: 0.5576
Runing epoch 109 (validation), batch 53 (has 64 graphs). Loss so far: 0.5624
Runing epoch 109 (validation), batch 54 (has 64 graphs). Loss so far: 0.5687
Runing epoch 109 (validation), batch 55 (has 64 graphs). Loss so far: 0.5732
Runing epoch 109 (validation), batch 56 (has 64 graphs). Loss so far: 0.5725
Runing epoch 109 (validation), batch 57 (has 64 graphs). Loss so far: 0.5646
Runing epoch 109 (validation), batch 58 (has 64 graphs). Loss so far: 0.5669
Runing epoch 109 (validation), batch 59 (has 64 graphs). Loss so far: 0.5574
Runing epoch 109 (validation), batch 60 (has 64 graphs). Loss so far: 0.5495
Runing epoch 109 (validation), batch 61 (has 64 graphs). Loss so far: 0.5436
Runing epoch 109 (validation), batch 62 (has 64 graphs). Loss so far: 0.5457
Runing epoch 109 (validation), batch 63 (has 64 graphs). Loss so far: 0.5436
Runing epoch 109 (validation), batch 64 (has 64 graphs). Loss so far: 0.5541
Runing epoch 109 (validation), batch 65 (has 64 graphs). Loss so far: 0.5517
Runing epoch 109 (validation), batch 66 (has 64 graphs). Loss so far: 0.5435
Runing epoch 109 (validation), batch 67 (has 61 graphs). Loss so far: 0.5355

[K valid: loss: 0.53549 || Top1 0.746 Top2 0.968 Top3 0.985 Top4 1.000 Top5 1.000 || graphs/sec: 61.10 | nodes/sec: 3055 | graphs: 4285 | nodes: 214250 | lr: 0.001000
== Epoch 110
Runing epoch 110 (training), batch 1 (has 64 graphs). Loss so far: 0.2237
Runing epoch 110 (training), batch 2 (has 64 graphs). Loss so far: 0.1610
Runing epoch 110 (training), batch 3 (has 64 graphs). Loss so far: 0.1271
Runing epoch 110 (training), batch 4 (has 64 graphs). Loss so far: 0.1122
Runing epoch 110 (training), batch 5 (has 64 graphs). Loss so far: 0.0967
Runing epoch 110 (training), batch 6 (has 64 graphs). Loss so far: 0.2210
Runing epoch 110 (training), batch 7 (has 64 graphs). Loss so far: 0.2144
Runing epoch 110 (training), batch 8 (has 64 graphs). Loss so far: 0.2402
Runing epoch 110 (training), batch 9 (has 64 graphs). Loss so far: 0.2139
Runing epoch 110 (training), batch 10 (has 64 graphs). Loss so far: 0.1927
Runing epoch 110 (training), batch 11 (has 64 graphs). Loss so far: 0.2124
Runing epoch 110 (training), batch 12 (has 64 graphs). Loss so far: 0.2382
Runing epoch 110 (training), batch 13 (has 64 graphs). Loss so far: 0.2311
Runing epoch 110 (training), batch 14 (has 64 graphs). Loss so far: 0.2351
Runing epoch 110 (training), batch 15 (has 64 graphs). Loss so far: 0.2585
Runing epoch 110 (training), batch 16 (has 64 graphs). Loss so far: 0.2896
Runing epoch 110 (training), batch 17 (has 64 graphs). Loss so far: 0.3108
Runing epoch 110 (training), batch 18 (has 64 graphs). Loss so far: 0.3090
Runing epoch 110 (training), batch 19 (has 64 graphs). Loss so far: 0.3055
Runing epoch 110 (training), batch 20 (has 64 graphs). Loss so far: 0.3028
Runing epoch 110 (training), batch 21 (has 64 graphs). Loss so far: 0.3339
Runing epoch 110 (training), batch 22 (has 64 graphs). Loss so far: 0.3812
Runing epoch 110 (training), batch 23 (has 64 graphs). Loss so far: 0.4118
Runing epoch 110 (training), batch 24 (has 64 graphs). Loss so far: 0.4126
Runing epoch 110 (training), batch 25 (has 64 graphs). Loss so far: 0.3963
Runing epoch 110 (training), batch 26 (has 64 graphs). Loss so far: 0.4327
Runing epoch 110 (training), batch 27 (has 64 graphs). Loss so far: 0.4217
Runing epoch 110 (training), batch 28 (has 64 graphs). Loss so far: 0.4795
Runing epoch 110 (training), batch 29 (has 64 graphs). Loss so far: 0.5050
Runing epoch 110 (training), batch 30 (has 64 graphs). Loss so far: 0.4890
Runing epoch 110 (training), batch 31 (has 64 graphs). Loss so far: 0.4893
Runing epoch 110 (training), batch 32 (has 64 graphs). Loss so far: 0.4801
Runing epoch 110 (training), batch 33 (has 64 graphs). Loss so far: 0.4728
Runing epoch 110 (training), batch 34 (has 64 graphs). Loss so far: 0.4590
Runing epoch 110 (training), batch 35 (has 64 graphs). Loss so far: 0.4472
Runing epoch 110 (training), batch 36 (has 64 graphs). Loss so far: 0.4350
Runing epoch 110 (training), batch 37 (has 64 graphs). Loss so far: 0.4241
Runing epoch 110 (training), batch 38 (has 64 graphs). Loss so far: 0.4404
Runing epoch 110 (training), batch 39 (has 64 graphs). Loss so far: 0.4612
Runing epoch 110 (training), batch 40 (has 64 graphs). Loss so far: 0.4676
Runing epoch 110 (training), batch 41 (has 64 graphs). Loss so far: 0.4715
Runing epoch 110 (training), batch 42 (has 64 graphs). Loss so far: 0.4717
Runing epoch 110 (training), batch 43 (has 64 graphs). Loss so far: 0.4608
Runing epoch 110 (training), batch 44 (has 64 graphs). Loss so far: 0.4712
Runing epoch 110 (training), batch 45 (has 64 graphs). Loss so far: 0.4762
Runing epoch 110 (training), batch 46 (has 64 graphs). Loss so far: 0.4697
Runing epoch 110 (training), batch 47 (has 64 graphs). Loss so far: 0.4659
Runing epoch 110 (training), batch 48 (has 64 graphs). Loss so far: 0.4578
Runing epoch 110 (training), batch 49 (has 64 graphs). Loss so far: 0.4612
Runing epoch 110 (training), batch 50 (has 64 graphs). Loss so far: 0.4607
Runing epoch 110 (training), batch 51 (has 64 graphs). Loss so far: 0.4556
Runing epoch 110 (training), batch 52 (has 64 graphs). Loss so far: 0.4701
Runing epoch 110 (training), batch 53 (has 64 graphs). Loss so far: 0.4623
Runing epoch 110 (training), batch 54 (has 64 graphs). Loss so far: 0.4564
Runing epoch 110 (training), batch 55 (has 64 graphs). Loss so far: 0.4881
Runing epoch 110 (training), batch 56 (has 64 graphs). Loss so far: 0.4794
Runing epoch 110 (training), batch 57 (has 64 graphs). Loss so far: 0.4711
Runing epoch 110 (training), batch 58 (has 64 graphs). Loss so far: 0.4634
Runing epoch 110 (training), batch 59 (has 64 graphs). Loss so far: 0.4614
Runing epoch 110 (training), batch 60 (has 64 graphs). Loss so far: 0.4540
Runing epoch 110 (training), batch 61 (has 64 graphs). Loss so far: 0.4539
Runing epoch 110 (training), batch 62 (has 64 graphs). Loss so far: 0.4478
Runing epoch 110 (training), batch 63 (has 64 graphs). Loss so far: 0.4425
Runing epoch 110 (training), batch 64 (has 64 graphs). Loss so far: 0.4403
Runing epoch 110 (training), batch 65 (has 64 graphs). Loss so far: 0.4335
Runing epoch 110 (training), batch 66 (has 64 graphs). Loss so far: 0.4269
Runing epoch 110 (training), batch 67 (has 64 graphs). Loss so far: 0.4908
Runing epoch 110 (training), batch 68 (has 64 graphs). Loss so far: 0.4871
Runing epoch 110 (training), batch 69 (has 64 graphs). Loss so far: 0.4940
Runing epoch 110 (training), batch 70 (has 64 graphs). Loss so far: 0.4907
Runing epoch 110 (training), batch 71 (has 64 graphs). Loss so far: 0.4970
Runing epoch 110 (training), batch 72 (has 64 graphs). Loss so far: 0.4930
Runing epoch 110 (training), batch 73 (has 64 graphs). Loss so far: 0.4947
Runing epoch 110 (training), batch 74 (has 64 graphs). Loss so far: 0.4990
Runing epoch 110 (training), batch 75 (has 64 graphs). Loss so far: 0.4926
Runing epoch 110 (training), batch 76 (has 64 graphs). Loss so far: 0.4861
Runing epoch 110 (training), batch 77 (has 64 graphs). Loss so far: 0.4806
Runing epoch 110 (training), batch 78 (has 64 graphs). Loss so far: 0.4830
Runing epoch 110 (training), batch 79 (has 64 graphs). Loss so far: 0.4830
Runing epoch 110 (training), batch 80 (has 64 graphs). Loss so far: 0.4769
Runing epoch 110 (training), batch 81 (has 64 graphs). Loss so far: 0.4840
Runing epoch 110 (training), batch 82 (has 64 graphs). Loss so far: 0.4785
Runing epoch 110 (training), batch 83 (has 64 graphs). Loss so far: 0.4801
Runing epoch 110 (training), batch 84 (has 64 graphs). Loss so far: 0.4797
Runing epoch 110 (training), batch 85 (has 64 graphs). Loss so far: 0.4750
Runing epoch 110 (training), batch 86 (has 64 graphs). Loss so far: 0.4750
Runing epoch 110 (training), batch 87 (has 64 graphs). Loss so far: 0.4696
Runing epoch 110 (training), batch 88 (has 64 graphs). Loss so far: 0.4653
Runing epoch 110 (training), batch 89 (has 64 graphs). Loss so far: 0.4603
Runing epoch 110 (training), batch 90 (has 64 graphs). Loss so far: 0.4617
